Computer Name,Number of Disconnects
FRONTDESK-PC,1
BETHGARWICK,1
FRONTOFFICEPELH,1
APTPELHAM,87
FRONTOFFICEPELH,60
FRONTOFFICEPELH,2
APTOFFICE,39
BETHGARWICK,1
PELHAMLAPTOP,2
APTOFFICE,1
KCUTSHALL-PC,313
KCUTSHALL-PC,201
KCUTSHALL-PC,258
BETHGARWICK,1
APTPELHAM,1
APTOFFICE,1
PELHAMLAPTOP,1
APTOFFICE,1
CLAYTON-PC,1
APTOFFICE,1
APTTRUSSVILLE,1
APTTRUSSVILLE,2
APTOFFICE,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
KCUTSHALL-PC,133
APTTRUSSVILLE,1
APTPELHAM,1
APTMOODY,1
LAPTOP2,1
KCUTSHALL-PC,1
BETHGARWICK,1
KCUTSHALL-PC,35
KCUTSHALL-PC,613
OWNER-BC8810E49,1
PELHAMLAPTOP,9
FRONTOFFICEPELH,4
PELHAMLAPTOP,5
APTPELHAM,3
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,5
APTOFFICE,1
CHELLAPTOP2,1
BETHGARWICK,1
KCUTSHALL-PC,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
BETHGARWICK,1
BETHGARWICK,1
APTMOODY,1
OWNER-BC8810E49,1
CHELLAPTOP2,1
PELHAMLAPTOP,1
APTOFFICE,2
OWNER-BC8810E49,1
PELHAMLAPTOP,2
OWNER-BC8810E49,1
CHELLAPTOP2,1
PELHAMLAPTOP,1
CHELLAPTOP2,1
MOODYLAPTOP,1
KCUTSHALL-PC,1
APTOFFICE,1
APTPELHAM,1
APTTRUSSVILLE,1
APTOFFICE,1
OWNER-BC8810E49,1
BETHGARWICK,1
KCUTSHALL-PC,1
FRONTOFFICE,1
CHELLAPTOP2,1
LAPTOP2,1
KCUTSHALL-PC,1
MOODYLAPTOP,1
LAPTOP2,1
APTTRUSSVILLE,1
PELHAMLAPTOP,7
APTOFFICE,1
FRONTOFFICE,1
CHELLAPTOP2,1
MOODYLAPTOP,1
PELHAMLAPTOP,1
APTPELHAM,1
FRONTOFFICE,1
APTTRUSSVILLE,1
PELHAMLAPTOP,10
FRONTOFFICEPELH,2
APTPELHAM,3
FRONTOFFICE,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
BETHGARWICK,1
PHOENIX,78
OWNER-BC8810E49,1
OWNER-BC8810E49,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
CHELLAPTOP2,1
CHELLAPTOP2,1
BETHGARWICK,1
PHOENIX,9
PHOENIX,1
PELHAMLAPTOP,1
BETHGARWICK,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
APTOFFICE,3
BETHGARWICK,1
BETHGARWICK,1
APTTRUSSVILLE,1
APTOFFICE,1
APTOFFICE,1
COMPUTER1,1
APTTRUSSVILLE,1
BETHGARWICK,1
PELHAMLAPTOP,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
APTMOODY,1
APTOFFICE,1
APTOFFICE,1
APTOFFICE,1
APTOFFICE,1
APTOFFICE,1
APTOFFICE,1
MOODYLAPTOP,1
APTMOODY,1
PELHAMLAPTOP,1
APTOFFICE,1
APTPELHAM,1
APTOFFICE,1
PELHAMLAPTOP,13
APTOFFICE,4
BETHGARWICK,1
BETHGARWICK,1
APTTRUSSVILLE,1
BETHGARWICK,1
FRONTOFFICEPELH,1
APTPELHAM,3
BETHGARWICK,1
COMPUTER1,1
APTOFFICE,1
BETHGARWICK,1
BETHGARWICK,1
PELHAMLAPTOP,1
BETHGARWICK,1
APTOFFICE,1
BETHGARWICK,1
APTTRUSSVILLE,1
MOODYLAPTOP,1
MOODYLAPTOP,1
FRONTOFFICE,1
PELHAMLAPTOP,1
EMMETT-THINK,1
PELHAMLAPTOP,1
EMMETT-THINK,1
FRONTOFFICE,1
MOODYLAPTOP,1
APTTRUSSVILLE,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
APTOFFICE,1
APTTRUSSVILLE,1
APTOFFICE,3
PELHAMLAPTOP,1
MOODYLAPTOP,1
PELHAMLAPTOP,1
APTOFFICE,1
PELHAMLAPTOP,26
APTPELHAM,4
FRONTOFFICEPELH,4
APTTRUSSVILLE,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
CHELLAPTOP2,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
APTTRUSSVILLE,1
BETHGARWICK,1
BETHGARWICK,1
APTOFFICE,1
BETHGARWICK,1
BETHGARWICK,1
BETHGARWICK,1
MOODYLAPTOP,1
OWNER-BC8810E49,1
APTPELHAM,1
MOODYLAPTOP,1
FRONTDESK-PC,1
BETHGARWICK,1
BETHGARWICK,1
FRONTDESK-PC,1
BETHGARWICK,1
BETHGARWICK,1
FRONTOFFICEPELH,2
APTTRUSSVILLE,1
APTTRUSSVILLE,1
PELHAMLAPTOP,1
PELHAMLAPTOP,1
MOODYLAPTOP,1
PELHAMLAPTOP,1
APTOFFICE,1
APTTRUSSVILLE,1
APTTRUSSVILLE,1
APTOFFICE,1
MOODYLAPTOP,1
APTMOODY,1
APTTRUSSVILLE,1
CHELLAPTOP2,1
PELHAMLAPTOP,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
PELHAMLAPTOP,1
APTOFFICE,1
KCUTSHALL-PC,1
APTTRUSSVILLE,1
KCUTSHALL-PC,1
EMMETT-THINK,1
BETHGARWICK,1
FRONTDESK-PC,1
MOODYLAPTOP,1
APTPELHAM,1
MOODYLAPTOP,1
MOODYLAPTOP,1
MOODYLAPTOP,1
APTOFFICE,1
APTOFFICE,1
EMMETT-THINK,1
APTPELHAM,1
APTMOODY,1
APTOFFICE,18
BETHGARWICK,1
APTTRUSSVILLE,1
APTTRUSSVILLE,1
EMMETT-THINK,1
APTOFFICE,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
APTOFFICE,5
OWNER-BC8810E49,1
APTTRUSSVILLE,1
APTMOODY,1
APTTRUSSVILLE,1
APTPELHAM,94
APTOFFICE,13
APTOFFICE,1
APTOFFICE,1
APTOFFICE,1
APTTRUSSVILLE,1
OWNER-BC8810E49,1
APTPELHAM,24
APTOFFICE,1
FRONTOFFICEPELH,2
BETHGARWICK,1
FRONTOFFICEPELH,1
MOODYLAPTOP,1
APTOFFICE,1
BETHGARWICK,1
APTTRUSSVILLE,1
MOODYLAPTOP,1
APTPELHAM,1
FRONTOFFICEPELH,1
COMPUTER1,1
OWNER-BC8810E49,1
FRONTDESK-PC,1
OWNER-BC8810E49,1
OWNER-BC8810E49,3
APTOFFICE,11
FRONTOFFICEPELH,1
APTPELHAM,3
FRONTOFFICEPELH,3
APTTRUSSVILLE,1
APTOFFICE,14
OWNER-BC8810E49,1
OWNER-BC8810E49,1
BETHGARWICK,1
FRONTOFFICE,1
MOODYLAPTOP,1
MOODYLAPTOP,1
COMPUTER1,1
APTOFFICE,39
OWNER-BC8810E49,1
APTOFFICE,15
FRONTOFFICE,1
FRONTOFFICEPELH,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
FRONTOFFICEPELH,1
MOODYLAPTOP,1
APTOFFICE,1
MOODYLAPTOP,1
APTPELHAM,2
FRONTOFFICEPELH,1
OWNER-BC8810E49,1
OWNER-BC8810E49,1
FRONTOFFICE,1
APTPELHAM,35
FRONTOFFICEPELH,44
APTOFFICE,1
APTTRUSSVILLE,1
BETHGARWICK,1
OWNER-BC8810E49,1
BETHGARWICK,1
APTOFFICE,10
APTOFFICE,8
APTPELHAM,1
APTMOODY,1
FRONTOFFICEPELH,3
APTMOODY,1
FRONTOFFICE,1
APTOFFICE,12
APTOFFICE,11
CHELLAPTOP2,1
OWNER-BC8810E49,1
FRONTOFFICE,1
FRONTOFFICEPELH,3
APTPELHAM,2
BETHGARWICK,1
FRONTOFFICE,1
BETHGARWICK,1
APTMOODY,1
MOODYLAPTOP,2
APTOFFICE,31
BETHGARWICK,1
FRONTOFFICEPELH,2
APTPELHAM,2
BETHGARWICK,1
APTTRUSSVILLE,1
APTOFFICE,1
APTOFFICE,1
BETHGARWICK,1
KCUTSHALL-PC,3125
OWNER-BC8810E49,1
OWNER-BC8810E49,1
FRONTOFFICE,1
BETHGARWICK,1
FRONTOFFICEPELH,35
APTPELHAM,14
BETHGARWICK,1
BETHGARWICK,1
APTOFFICE,1
BETHGARWICK,1
FRONTDESK-PC,1
APTOFFICE,1
COMPUTER1,1
APTOFFICE,8
FRONTDESK-PC,1
FRONTDESK-PC,1
